"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"loc01-tmc010512","RU","Khiva","UZ","?Itil","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","47.017","47.25","TGN","60.366669","41.400002","ADL4229363","72","80","P000","tmcZCAm0800_001a"
"Merv","TM","Khiva","UZ","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","62.166668","37.616669","ADL4125737","60.366669","41.400002","ADL4229363","620","80","P000","tmcZCAm0800_002a"
"Merv","TM","loc02-tmc010512","IR","?Gorgan","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","62.166668","37.616669","ADL4125737","54.439167","36.828056","ADL2456811","620","296","P000","tmcZCAm0800_003a"
"loc04-tmc010512","IR","loc02-tmc010512","IR","?Rhagae;?Gorgan","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","51.417","35.583","TGN7002140","54.439167","36.828056","ADL2456811","136","296","P000","tmcZCAm0800_004a"
"Merv","TM","loc03-tmc010512","IR","?Meshed","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","62.166668","37.616669","ADL4125737","59.59861","36.305","ADL2470118","620","98","P000","tmcZCAm0800_005a"
"loc03-tmc010512","IR","loc04-tmc010512","IR","?Meshed;?Rhagae","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","59.59861","36.305","ADL2470118","51.417","35.583","TGN7002140","98","136","P000","tmcZCAm0800_006a"
"loc03-tmc010512","IR","loc05-tmc010512","AF","?Meshed;?Herat","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","59.59861","36.305","ADL2470118","62.2","34.333","TGN","98","60","P000","tmcZCAm0800_007a"
"loc05-tmc010512","AF","loc04-tmc010512","AF","?Herat;?Rhagae","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","62.2","34.333","TGN","51.417","35.583","TGN7002140","60","136","P000","tmcZCAm0800_008a"
"Merv","TM","Balkh","AF","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","62.166668","37.616669","ADL4125737","66.9","36.75","TGN","620","22","P000","tmcZCAm0800_009a"
"Balkh","AF","Tashkurgan","CN","nkn","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","66.9","36.75","TGN","75.23333","37.783333","adlgaz-1-1633245-3a","22","164","P000","tmcZCAm0800_010a"
"Tashkurgan","CN","loc07-tmc010512","PK","?Gilgit","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","75.23333","37.783333","adlgaz-1-1633245-3a","74.300003","35.916668","ADL3245412","164","57","P000","tmcZCAm0800_011a"
"loc07-tmc010512","PK","Srinagar","IN","?Gilgit","trd","cd","maj","A000","B000","C000","nk","d000dd","nkn","t000t","700","1000","QC4","Whitfield 1999:xii","74.300003","35.916668","ADL3245412","74.816","34.0833","Rigby 1984","57","154","P000","tmcZCAm0800_012a"
