"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"loc01-tmc040326","KZ","Bishkek","KG","nkn","trd","cd","maj","A000","B000","C000","nkn","nkn","nkn","nkn","-100","1400","QC3","Artrek n.d.","71.417","42.833","TGN7016637 ","74.599998","42.900002","ADL2608195","515","530","P000","tmcKGa0100a_001a"
"Bishkek","KG","Tokmok","KG","nkn","trd","cd","maj","A000","B000","C000","nkn","nkn","nkn","nkn","-100","1400","QC3","Artrek n.d.","74.599998","42.900002","ADL2608195","75.300003","42.866669","adlgaz-1-2609832-00","530","1815","P000","tmcKGa0100a_002a"
"Tokmok","KG","loc02-tmc040326","KG","Kemin","trd","cd","maj","A000","B000","C000","nkn","nkn","nkn","nkn","-100","1400","QC3","Artrek n.d.","75.300003","42.866669","adlgaz-1-2609832-00","75.6911111","42.7852778","www.calle.com","1815","1823","P000","tmcKGa0100a_003a"
"loc02-tmc040326","KG","loc03-tmc040326","KZ","Kemin; Novokastekskiy Pereval","trd","cd","maj","A000","B000","C000","nkn","nkn","nkn","nkn","-100","1400","QC3","Artrek n.d.","75.6911111","42.7852778","www.calle.com","75.800003","42.950001","ADL2669144","1823","1063","P000","tmcKGa0100a_004a"
"loc03-tmc040326","KZ","loc04-tmc040326","KZ","Novokastekskiy Pereval; Kaskelen","trd","cd","maj","A000","B000","C000","nkn","nkn","nkn","nkn","-100","1400","QC3","Artrek n.d.","75.800003","42.950001","ADL2669144","76.616669","43.200001","adlgaz-1-2670325-3d","1063","1820","P000","tmcKGa0100a_005a"
"loc02-tmc040326","KG","loc05-tmc040326","KG","Kemin; Boom Gorge","trd","cd","maj","A000","B000","C000","nkn","nkn","nkn","nkn","-100","1400","QC3","Artrek n.d.","75.6911111","42.7852778","www.calle.com","75.800003","42.583332","ADL2608198","1823","889","P000","tmcKGa0100a_006a"
"loc05-tmc040326","KG","loc06-tmc040326","KG","Boom Gorge; Issyk-Kul","trd","cd","maj","A000","B000","C000","nkn","nkn","nkn","nkn","-100","1400","QC3","Artrek n.d.","75.800003","42.583332","ADL2608198","76.199997","42.466667","ADL2610043","889","531","P000","tmcKGa0100a_007a"
"loc06-tmc040326","KG","loc30-tmc040326","KG","Issyk-Kul;Kochkor","trd","cd","maj","A000","B000","C000","nkn","nkn","nkn","nkn","-100","1400","QC3","Artrek n.d.","76.199997","42.466667","ADL2610043","75.7541667","42.2127778","www.calle.com ","531","1072","P000","tmcKGa0100a_008a"
"Naryn","KG","Tas-Rabat","KG","nkn","trd","cd","maj","A000","B000","C000","nkn","nkn","nkn","nkn","-100","1400","QC3","Artrek n.d.","75.966667","41.433334","adlgaz-1-2609393-24","75.2631","40.8885","UNAVCO 1997","533","1829","P000","tmcKGa0100a_009a"
"loc30-tmc040326","KG","Naryn;","KG","Kochkor","trd","cd","maj","A000","B000","C000","nkn","nkn","nkn","nkn","-100","1400","QC3","Artrek n.d.","75.7541667","42.2127778","www.calle.com ","75.966667","41.433334","adlgaz-1-2609393-24","1072","533","P000","tmcKGa0100a_010a"
