"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Kashgar","CN","Osh","KG","Sogdian Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","76.033","39.483","TGN","72.800003","40.533333","ADL2609455","77","117","P000","tmcTJm0400b_001a"
"Osh","KG","loc01-tmc040918","UZ","Sogdian Route; Andijon","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","72.800003","40.533333","ADL2609455","72.366669","40.75","ADL4227241","117","647","P000","tmcTJm0400b_002a"
"loc01-tmc040918","UZ","Kokand","UZ","Sogdian Route;Andijon","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","72.366669","40.75","ADL4227241","70.949997","40.5","ADL4230703","647","219","P000","tmcTJm0400b_003a"
"Kokand","UZ","Kanibadam","TJ","Sogdian Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","70.949997","40.5","ADL4230703","70.4167","40.2833","adlgaz-1-4040044-52","219","1926","P000","tmcTJm0400b_004a"
"Kanibadam","TJ","Khujand","TJ","Sogdian Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","70.4167","40.2833","adlgaz-1-4040044-52","69.616669","40.283333","ADL4039970","1926","279","P000","tmcTJm0400b_005a"
"Kanibadam","TJ","Isfara","TJ","Sogdian Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","70.4167","40.2833","adlgaz-1-4040044-52","70.633331","40.116669","adlgaz-1-4039621-3e","1926","1813","P000","tmcTJm0400b_006a"
"Khujand","TJ","Ura-Tyube","TJ","Sogdian Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","69.616669","40.283333","ADL4039970","69.01667","39.916668","adlgaz-1-4041216-6e","279","501","P000","tmcTJm0400b_007a"
"Ura-Tyube","TJ","Shahristan","TJ","Sogdian Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","69.01667","39.916668","adlgaz-1-4041216-6e","68.8167","39.7833","adlgaz-1-4040857-7e","501","1927","P000","tmcTJm0400b_008a"
"Shahristan","TJ","Aini","TJ","Sogdian Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","68.8167","39.7833","adlgaz-1-4040857-7e","68.5333","39.3833","adlgaz-1-4038923-7b","1927","1929","P000","tmcTJm0400b_009a"
"Aini","TJ","Pendjikent","TJ","Sogdian Route","trd","cd","maj","A001","B001","C001","nkn","d000dd","nkn","t000t","400","800","QC3","Jonboboev & Mamadambarova. n.d. (1)","68.5333","39.3833","adlgaz-1-4038923-7b","67.616669","39.483334","ADL4040559","1929","220","P000","tmcTJm0400b_010a"
