"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Xishuangbanna","CN","loc06-tmc060612","CN","?Mengyang; Route One: Yunnan to Beijing","trd","cd","maj","FTE001","B000","C000","Beijing","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","100.8167","21.9833","www.fallingrain.com","100.9","22.0167","www.fallingrain.com","3662","3676","P000","tmcCNm1850_001a"
"loc06-tmc060612","CN","Simao","CN","?Mengyang; Route One: Yunnan to Beijing","trd","cd","maj","FTE001","B000","C000","Beijing","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","100.9","22.0167","www.fallingrain.com","101.0833","22.7667","www.fallingrain.com","3676","3661","P000","tmcCNm1850_002a"
"Simao","CN","loc01-tmc060612","CN","Pu-erh; Route One: Yunnan to Beijing","trd","cd","maj","FTE001","B000","C000","Beijing","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","101.0833","22.7667","www.fallingrain.com","101.05","23.0833","www.fallingrain.com","3661","1999","P000","tmcCNm1850_003a"
"loc01-tmc060612","CN","loc02-tmc060612","CN","Pu-erh; Julian; Route One: Yunnan to Beijing","trd","cd","maj","FTE001","B000","C000","Beijing","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","101.05","23.0833","www.fallingrain.com","101.7333","23.4167","www.fallingrain.com","1999","3674","P000","tmcCNm1850_004a"
"loc02-tmc060612","CN","loc03-tmc060612","CN","Julian; Lijiang (2); Route One: Yunnan to Beijing","trd","cd","maj","FTE001","B000","C000","Beijing","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","101.7333","23.4167","www.fallingrain.com","102.0417","23.5922","www.fallingrain.com","3674","2000","P000","tmcCNm1850_005a"
"loc03-tmc060612","CN","loc04-tmc060612","CN","Lijiang (2); Yuxi; Route One: Yunnan to Beijing","trd","cd","maj","FTE001","B000","C000","Beijing","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","102.0417","23.5922","www.fallingrain.com","102.5422","24.355","www.fallingrain.com","2000","3675","P000","tmcCNm1850_006a"
"loc04-tmc060612","CN","Kunming","CN","Yuxi; Route One: Yunnan to Beijing","trd","cd","maj","FTE001","B000","C000","Beijing","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","102.5422","24.355","www.fallingrain.com","102.7183","25.0389","www.fallingrain.com","3675","3399","P000","tmcCNm1850_007a"
"Kunming","CN","loc05-tmc060612","CN","Chengdu; Route One: Yunnan to Beijing","trd","cd","maj","FTE001","B000","C000","Beijing","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a & Map 3,  Bin Yang 2004","102.7183","25.0389","www.fallingrain.com","104.066673","30.666668","ADL1599455","3399","267","P000","tmcCNm1850_008a"
"loc05-tmc060612","CN","Beijing","CN","Chengdu; Route One: Yunnan to Beijing","trd","cd","maj","FTE001","B000","C000","Beijing","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a & Map 3,  Bin Yang 2004","104.066673","30.666668","ADL1599455","116.389168","39.912777","ADL1597191","267","391","P000","tmcCNm1850_009a"
"Pu-erh","CN","Simao","CN","nkn; Route Two: Yunnan to Burma & Thailand","trd","cd","maj","FTE001","B000","C000","Chiang Mai","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","101.05","23.0833","www.fallingrain.com","101.0833","22.7667","www.fallingrain.com","1999","3661","P000","tmcCNm1850_010a"
"Simao","CN","loc06-tmc060612","CN","?Mengyang; Route Two: Yunnan to Burma & Thailand","trd","cd","maj","FTE001","B000","C000","Chiang Mai","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","101.0833","22.7667","www.fallingrain.com","100.9","22.0167","www.fallingrain.com","3661","3676","P000","tmcCNm1850_011a"
"loc06-tmc060612","CN","Jinghong","CN","?Mengyang; Route Two: Yunnan to Burma & Thailand","trd","cd","maj","FTE001","B000","C000","Chiang Mai","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","100.9","22.0167","www.fallingrain.com","100.8167","21.9833","www.fallingrain.com","3676","3662","P000","tmcCNm1850_012a"
"Jinghong","CN","Menghai","CN","nkn; Route Two: Yunnan to Burma & Thailand","trd","cd","maj","FTE001","B000","C000","Chiang Mai","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","100.8167","21.9833","www.fallingrain.com","100.4667","21.9667","www.fallingrain.com","3662","3670","P000","tmcCNm1850_013a"
"Menghai","CN","Daluo","CN","nkn; Route Two: Yunnan to Burma & Thailand","trd","cd","maj","FTE001","B000","C000","Chiang Mai","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","100.4667","21.9667","www.fallingrain.com","100.05","21.7","www.fallingrain.com","3670","3671","P000","tmcCNm1850_014a"
"Daluo","CN","loc07-tmc060612","MM","?Kentung; Route Two: Yunnan to Burma & Thailand","trd","cd","maj","FTE001","B000","C000","Chiang Mai","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","100.05","21.7","www.fallingrain.com","99.6","21.2833","www.fallingrain.com","3671","3677","P000","tmcCNm1850_015a"
"loc07-tmc060612","MM","loc08-tmc060612","TH","?Kentung;?Chiang Mai; Route Two: Yunnan to Burma & Thailand","trd","cd","maj","FTE001","B000","C000","Chiang Mai","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a & Map 3,  Bin Yang 2004","99.6","21.2833","www.fallingrain.com","98.9817","18.7903","www.fallingrain.com","3677","3688","P000","tmcCNm1850_016a"
"Pu-erh","CN","Xiaguan","CN","nkn; Route Three: Yunnan to Tibet; then to India & Nepal","trd","cd","maj","FTE001","B000","C000","Lhasa","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","101.05","23.0833","www.fallingrain.com","100.2333","25.5667","www.fallingrain.com","1999","3656","P000","tmcCNm1850_017a"
"Xiaguan","CN","Lijiang","CN","nkn; Route Three: Yunnan to Tibet; then to India & Nepal","trd","cd","maj","FTE001","B000","C000","Lhasa","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","100.2333","25.5667","www.fallingrain.com","100.2667","26.8","www.fallingrain.com","3656","2147","P000","tmcCNm1850_018a"
"Lijiang","CN","Zhongdian","CN","nkn; Route Three: Yunnan to Tibet; then to India & Nepal","trd","cd","maj","FTE001","B000","C000","Lhasa","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","100.2667","26.8","www.fallingrain.com","99.599998","27.833332","adlgaz-1-1646356-17","2147","1672","P000","tmcCNm1850_019a"
"Zhongdian","CN","loc09-tmc060612","CN","?Dechen; Route Three: Yunnan to Tibet; then to India & Nepal","trd","cd","maj","FTE001","B000","C000","Lhasa","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","99.599998","27.833332","adlgaz-1-1646356-17","98.92857143","28.48214286","OWT est.","1672","2001","P000","tmcCNm1850_020a"
"Pu-erh","CN","Simao","CN","nkn; Route Four: Yunnan to Vietnam","trd","cd","maj","FTE001","B000","C000","Lai Chau","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","101.05","23.0833","www.fallingrain.com","101.0833","22.7667","www.fallingrain.com","1999","3661","P000","tmcCNm1850_021a"
"Simao","CN","Jiangcheng","CN","nkn; Route Four: Yunnan to Vietnam","trd","cd","maj","FTE001","B000","C000","Lai Chau","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","101.0833","22.7667","www.fallingrain.com","101.8333","22.6","www.fallingrain.com","3661","3672","P000","tmcCNm1850_022a"
"Jiangcheng","CN","loc10-tmc060612","VN","?Lai Chau; Route Four: Yunnan to Vietnam","trd","cd","maj","FTE001","B000","C000","Lai Chau","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a& Map 3,  Bin Yang 2004","101.8333","22.6","www.fallingrain.com","103.1667","22.0667","www.fallingrain.com","3672","3678","P000","tmcCNm1850_023a"
"Pu-erh","CN","Simao","CN","nkn; Route Five: Yunnan to Burma","trd","cd","maj","FTE001","B000","C000","Nawng-awn","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","101.05","23.0833","www.fallingrain.com","101.0833","22.7667","www.fallingrain.com","1999","3661","P001","tmcCNm1850_024a"
"Simao","CN","Lanchang","CN","nkn; Route Five: Yunnan to Burma","trd","cd","maj","FTE001","B000","C000","Nawng-awn","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","101.0833","22.7667","www.fallingrain.com","99.9333","22.5333","www.fallingrain.com","3661","3673","P001","tmcCNm1850_025a"
"Lanchang","CN","Meilian","CN","nkn; Route Five: Yunnan to Burma","trd","cd","maj","FTE001","B000","C000","Nawng-awn","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","99.9333","22.5333","www.fallingrain.com","99.58333333","22.33333333","mercury.soas.ac.uk/wadict/wa_placenames.html","3673","3680","P001","tmcCNm1850_026a"
"Meilian","CN","loc11-tmc060612","CN","?Banjia; Route Five: Yunnan to Burma","trd","cd","maj","FTE001","B000","C000","Nawng-awn","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","99.58333333","22.33333333","mercury.soas.ac.uk/wadict/wa_placenames.html","99.2333","22.15","www.fallingrain.com","3680","3681","P001","tmcCNm1850_027a"
"loc11-tmc060612","CN","loc12-tmc060612","MM","?Banjia; ?Wan Long; Route Five: Yunnan to Burma","trd","cd","maj","FTE001","B000","C000","Nawng-awn","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","99.2333","22.15","www.fallingrain.com","99.1833","22.1667","www.fallingrain.com","3681","3682","P001","tmcCNm1850_028a"
"loc12-tmc060612","MM","loc13-tmc060612","MM","?Wan Long; ?Nawng-awn; Route Five: Yunnan to Burma","trd","cd","maj","FTE001","B000","C000","Nawng-awn","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","99.1833","22.1667","www.fallingrain.com","98.7","21.2167","www.fallingrain.com","3682","3679","P001","tmcCNm1850_029a"
"Pu-erh","CN","Simao","CN","nkn; Route Six: Yunnan to Laos","trd","cd","maj","FTE001","B000","C000","Vientiane","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","101.05","23.0833","www.fallingrain.com","101.0833","22.7667","www.fallingrain.com","1999","3661","P002","tmcCNm1850_030a"
"Simao","CN","loc06-tmc060612","CN","?Mengyang; Route Six: Yunnan to Laos","trd","cd","maj","FTE001","B000","C000","Vientiane","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","101.0833","22.7667","www.fallingrain.com","100.9","22.0167","www.fallingrain.com","3661","3676","P002","tmcCNm1850_031a"
"loc06-tmc060612","CN","loc14-tmc060612","CN","?Mengyang; ?Menglun; Route Six: Yunnan to Laos","trd","cd","maj","FTE001","B000","C000","Vientiane","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","100.9","22.0167","www.fallingrain.com","101.25","21.9167","www.fallingrain.com","3676","3683","P002","tmcCNm1850_032a"
"loc14-tmc060612","CN","loc15-tmc060612","CN","?Menglun; ?Mengxing; Route Six: Yunnan to Laos","trd","cd","maj","FTE001","B000","C000","Vientiane","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a","101.25","21.9167","www.fallingrain.com","101.3833","21.85","www.fallingrain.com","3683","3684","P002","tmcCNm1850_033a"
"loc15-tmc060612","CN","Meila","CN","?Mengxing; ?Mengla; Route Six: Yunnan to Laos","trd","cd","maj","FTE001","B000","C000","Vientiane","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a & Map 3,  Bin Yang 2004","101.3833","21.85","www.fallingrain.com","101.5833","21.4667","www.fallingrain.com","3684","3685","P002","tmcCNm1850_034a"
"Meila","CN","loc16-tmc060612","LA","?Mengla; ?Muang Namo; Route Six: Yunnan to Laos","trd","cd","maj","FTE001","B000","C000","Vientiane","d000dd","cmu ","t000t","1830","1870","QC3","Beijing Portal 2004a & Map 3,  Bin Yang 2004","101.5833","21.4667","www.fallingrain.com","101.7667","21","www.fallingrain.com","3685","3686","P002","tmcCNm1850_035a"
