"NODE1","COUNTRY1","NODE2","COUNTRY2","DETAIL","USES","TYPE","ROLE","GOODS1","GOODS2","GOODS3","DIR","DIST","TRAVMODE","TRAVTIME","EARLYDATE","LATEDATE","DATAQLTY","SRC","LONG1","LAT1","COORDSRC1","LONG2","LAT2","COORDSRC2","NODEID1","NODEID2","PROBL","DATAID"
"Ya'an","CN","Luding","CN","nkn (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","103.0833","29.9833","www.calle.com","102.2","29.9333","www.calle.com","1998","1997","P000","tmcCNm0680c_001a"
"Luding","CN","Kangding","CN","nkn (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","102.2","29.9333","www.calle.com","102.033333","30.049999","adlgaz-1-1619087-2d","1997","1661","P000","tmcCNm0680c_002a"
"Kangding","CN","Litang","CN","nkn (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","102.033333","30.049999","adlgaz-1-1619087-2d","100.26667","30","adlgaz-1-1606451-28","1661","559","P000","tmcCNm0680c_003a"
"Litang","CN","Batang","CN","nkn (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","100.26667","30","adlgaz-1-1606451-28","99","30","adlgaz-1-1596830-10","559","1659","P000","tmcCNm0680c_004a"
"Batang","CN","loc01-tmc041118","CN","Gartog; (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","99","30","adlgaz-1-1596830-10","98.550003","29.683332","adlgaz-1-1606898-06","1659","1658","P000","tmcCNm0680c_005a"
"Pu'er","CN","Dali","CN","nkn (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","101.05","23.0833","www.calle.com","100.183327","25.700001","adlgaz-1-1601424-6d","1999","1670","P000","tmcCNm0680c_006a"
"Dali","CN","Lijiang","CN","nkn (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","100.183327","25.700001","adlgaz-1-1601424-6d","100.2667","26.8","www.fallingrain.com","1670","2147","P000","tmcCNm0680c_007a"
"Lijiang","CN","Zhongdian","CN","nkn (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","100.2667","26.8","www.fallingrain.com","99.599998","27.833332","adlgaz-1-1646356-17","2147","1672","P000","tmcCNm0680c_008a"
"Zhongdian","CN","Benzilan","CN","nkn (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","99.599998","27.833332","adlgaz-1-1646356-17","99.300003","28.266666","adlgaz-1-1597519-65","1672","1674","P000","tmcCNm0680c_009a"
"Benzilan","CN","Deqeng","CN","nkn (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","99.300003","28.266666","adlgaz-1-1597519-65","98.92857143","28.48214286","OWT est.","1674","2001","P000","tmcCNm0680c_010a"
"Deqeng","CN","Bamda","CN","nkn (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","98.92857143","28.48214286","OWT est.","98.7","29.4667","www.calle.com","2001","1996","P001","tmcCNm0680c_011a"
"Bamda","CN","loc01-tmc041118","CN","Gartog; (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","98.7","29.4667","www.calle.com","98.550003","29.683332","adlgaz-1-1606898-06","1996","1658","P001","tmcCNm0680c_012a"
"loc01-tmc041118","CN","Zugong","CN","Gartog; (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","98.550003","29.683332","adlgaz-1-1606898-06","97.900002","29.683332","adlgaz-1-1634953-15","1658","1677","P001","tmcCNm0680c_013a"
"Zugong","CN","loc02-tmc041118","CN","Bamda (2); (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","97.900002","29.683332","adlgaz-1-1634953-15","97.23333","30.233334","adlgaz-1-1596389-22","1677","1676","P001","tmcCNm0680c_014a"
"loc02-tmc041118","CN","Zayu (2)","CN","Bamda (2); (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","97.23333","30.233334","adlgaz-1-1596389-22","97.300003","30.75","adlgaz-1-1608518-01","1676","1782","P002","tmcCNm0680c_015a"
"Zayu (2)","CN","Qamdo","CN","nkn (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","97.300003","30.75","adlgaz-1-1608518-01","97.23333","31.166668","adlgaz-1-1624836-0d","1782","266","P002","tmcCNm0680c_016a"
"Qamdo","CN","Rewoqe","CN","nkn (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","97.23333","31.166668","adlgaz-1-1624836-0d","96.5167","31.4","www.calle.com","266","2002","P001","tmcCNm0680c_017a"
"Rewoqe","CN","Lholung","CN","nkn (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","96.5167","31.4","www.calle.com","96.15","30.7","www.calle.com","2002","2003","P001","tmcCNm0680c_018a"
"Zayu (2)","CN","Lholung","CN","nkn (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","97.300003","30.75","adlgaz-1-1608518-01","96.15","30.7","www.calle.com","1782","2003","P002","tmcCNm0680c_019a"
"Lholung","CN","loc03-tmc041118","CN","Zito;  (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","96.15","30.7","www.calle.com","95.883331","30.783333","adlgaz-1-1647089-57","2003","1780","P001","tmcCNm0680c_020a"
"loc03-tmc041118","CN","Benba","CN","Zito;  (tea  to Tibet; horses  to  Yunnan & Sichuan)","trd","cd","maj","FTE001","ARI001","C000","nkn","d000dd","nkn","t000t","680","1950","QC4","Beijing Portal 2004","95.883331","30.783333","adlgaz-1-1647089-57","94.8333","30.9","www.calle.com","1780","2004","P001","tmcCNm0680c_021a"
